Country	Rank	Song	Artists	Album	Cover	Link
Bulgaria	10	Not Like Us	Kendrick Lamar	Not Like Us	https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad	https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3
Belgium	1	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Belgium	2	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Belgium	3	Stumblin' In	CYRIL	Stumblin' In	https://i.scdn.co/image/ab67616d0000b2739a903819d8a5d3c80c47734c	https://open.spotify.com/track/0h3Xy4V4apMraB5NuM8U7Z
Belgium	4	Stargazing	Myles Smith	Stargazing	https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a	https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
Belgium	5	Belong Together	Mark Ambor	Belong Together	https://i.scdn.co/image/ab67616d0000b273ed71b8008aaa879622f8c3b5	https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu
Belgium	6	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Belgium	7	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Belgium	8	Europapa	Joost	Europapa	https://i.scdn.co/image/ab67616d0000b27364593914322faaf17150d522	https://open.spotify.com/track/0uHrMbMv3c78398pIANDqR
Belgium	9	On Met La Patate (Belgian Anthem)	Omdat Het Kan, Average Rob	On Met La Patate (Belgian Anthem)	https://i.scdn.co/image/ab67616d0000b273b4fe6bbebdf3bae7d7ed9be0	https://open.spotify.com/track/3q8VDAS1z0x5VavigoDXHl
Belgium	10	Pedro	Jaxomy, Agatino Romero, Raffaella Carrà	Pedro	https://i.scdn.co/image/ab67616d0000b27384464d902b1ebaf62775a6da	https://open.spotify.com/track/48lxT5qJF0yYyf2z4wB4xW
